Umbria,78.495227917,23.1
Trento,75.779254710,22.4
Toscana,80.737348530,21.1
Sicilia,72.923169699,14.9
Sardegna,78.869907999,17.7
Puglia,78.909292352,15.3
Piemonte,76.491069691,19.8
Molise,79.342863608,18.5
Marche,75.182789131,21.2
Lombardia,79.694716643,21.7
Liguria,78.094549804,21.8
Lazio,79.210869225,27
Friuli Venezia Giulia,75.230307010,21.4
Emilia-Romagna,78.009815599,23.3
Campania,74.253830830,16.3
Calabria,73.250603186,16
Bolzano,70.040402220,17.6
Basilicata,77.655471086,17.6
Abruzzo,76.871897559,21.2
Veneto,75.587691502,19.8
Valle dAosta,71.862853304,18.9
